# Run complete. Total time: 00:07:23

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                                      (bits)  (padding)          (scenario)  (seed)   (size)   Mode  Cnt     Score    Error  Units
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7             UNIFORM       0  1000000  thrpt    5    32,059 ±  0,626  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7          CONTIGUOUS       0  1000000  thrpt    5  1566,744 ± 18,661  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5   624,343 ±  5,707  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5    57,049 ±  0,035  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7              SORTED       0  1000000  thrpt    5    17,177 ±  0,219  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7       ALMOST_SORTED       0  1000000  thrpt    5    46,724 ±  1,064  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7                 EXP       0  1000000  thrpt    5    30,252 ±  0,837  ops/s

RadixSortBenchmark.dpqs21_04RadixSort                              23          7             UNIFORM       0  1000000  thrpt    5    71,341 ±  0,867  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7          CONTIGUOUS       0  1000000  thrpt    5    23,948 ±  0,543  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5    23,991 ±  0,383  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5    23,969 ±  0,580  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7              SORTED       0  1000000  thrpt    5    70,532 ±  0,069  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7       ALMOST_SORTED       0  1000000  thrpt    5    71,512 ±  0,158  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7                 EXP       0  1000000  thrpt    5    70,275 ±  0,124  ops/s

RadixSortBenchmark.dpqs21_04RadixSort2                             23          7             UNIFORM       0  1000000  thrpt    5    82,634 ±  0,389  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7          CONTIGUOUS       0  1000000  thrpt    5    23,611 ±  0,105  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5    23,799 ±  0,194  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5    24,306 ±  0,130  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7              SORTED       0  1000000  thrpt    5    82,154 ±  0,100  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7       ALMOST_SORTED       0  1000000  thrpt    5    82,541 ±  0,311  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7                 EXP       0  1000000  thrpt    5    74,195 ±  1,280  ops/s

RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7             UNIFORM       0  1000000  thrpt    5    80,518 ±  2,854  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7          CONTIGUOUS       0  1000000  thrpt    5    23,398 ±  0,230  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5    23,752 ±  0,435  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5    24,618 ±  0,502  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7              SORTED       0  1000000  thrpt    5    80,759 ±  1,856  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7       ALMOST_SORTED       0  1000000  thrpt    5    81,083 ±  1,331  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7                 EXP       0  1000000  thrpt    5    73,368 ±  1,276  ops/s
