Test[UNIFORM | DPQS_2105| M=33554432] elapsed: 645.494724 ms, reference: 5147.2210589999995 ms
Test[CONTIGUOUS | DPQS_2105| M=33554432] elapsed: 75.924495 ms, reference: 78.799583 ms
Test[CONTIGUOUS_REVERSE | DPQS_2105| M=33554432] elapsed: 108.171729 ms, reference: 126.96086299999999 ms
Test[ALMOST_CONTIGUOUS | DPQS_2105| M=33554432] elapsed: 213.33844299999998 ms, reference: 818.058004 ms
Test[SORTED | DPQS_2105| M=33554432] elapsed: 1265.7607779999998 ms, reference: 1220.726997 ms

Test[UNIFORM | DPQS_2105_LowMem| M=33554432] elapsed: 5140.080268 ms, reference: 4958.095859999999 ms
Test[CONTIGUOUS | DPQS_2105_LowMem| M=33554432] elapsed: 83.319026 ms, reference: 87.356793 ms
Test[CONTIGUOUS_REVERSE | DPQS_2105_LowMem| M=33554432] elapsed: 115.537036 ms, reference: 51.905663 ms
Test[ALMOST_CONTIGUOUS | DPQS_2105_LowMem| M=33554432] elapsed: 72.65379 ms, reference: 745.970247 ms
Test[SORTED | DPQS_2105_LowMem| M=33554432] elapsed: 2968.960404 ms, reference: 1219.690038 ms
