Test[UNIFORM | DPQS_2105| M=536870912] elapsed: 9547.799826 ms, reference: 8513.101669 ms
Test[CONTIGUOUS | DPQS_2105| M=536870912] elapsed: 1121.9091839999999 ms, reference: 1122.258816 ms
Test[CONTIGUOUS_REVERSE | DPQS_2105| M=536870912] elapsed: 864.410895 ms, reference: 1544.105695 ms
Test[ALMOST_CONTIGUOUS | DPQS_2105| M=536870912] elapsed: 906.1300279999999 ms, reference: 3240.912304 ms
Test[SORTED | DPQS_2105| M=536870912] elapsed: 36489.886717 ms, reference: 36485.697643 ms

Test[UNIFORM | DPQS_2105_LowMem| M=536870912] elapsed: 106073.737477 ms, reference: 12308.953827 ms
Test[CONTIGUOUS | DPQS_2105_LowMem| M=536870912] elapsed: 1260.813919 ms, reference: 286.794588 ms
Test[CONTIGUOUS_REVERSE | DPQS_2105_LowMem| M=536870912] elapsed: 1510.854681 ms, reference: 702.24268 ms
Test[ALMOST_CONTIGUOUS | DPQS_2105_LowMem| M=536870912] elapsed: 1379.5677389999998 ms, reference: 753.195702 ms
Test[SORTED | DPQS_2105_LowMem| M=536870912] elapsed: 70980.366985 ms, reference: 36385.279963 ms
