# Run complete. Total time: 00:11:33

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                                      (bits)  (padding)          (scenario)  (seed)  (size)   Mode  Cnt       Score      Error  Units
RadixSortBenchmark.arraysSort                                      23          7             UNIFORM       0   10000  thrpt    5    1279,732 ±   10,125  ops/s
RadixSortBenchmark.arraysSort                                      23          7            GAUSSIAN       0   10000  thrpt    5    1346,432 ±   10,383  ops/s
RadixSortBenchmark.arraysSort                                      23          7          CONTIGUOUS       0   10000  thrpt    5  226262,041 ± 1571,898  ops/s
RadixSortBenchmark.arraysSort                                      23          7  CONTIGUOUS_REVERSE       0   10000  thrpt    5   84096,817 ±  812,902  ops/s
RadixSortBenchmark.arraysSort                                      23          7   ALMOST_CONTIGUOUS       0   10000  thrpt    5   10014,101 ±  468,091  ops/s
RadixSortBenchmark.arraysSort                                      23          7              SORTED       0   10000  thrpt    5   31289,938 ±  101,440  ops/s
RadixSortBenchmark.arraysSort                                      23          7       ALMOST_SORTED       0   10000  thrpt    5    3120,871 ±    1,942  ops/s
RadixSortBenchmark.arraysSort                                      23          7                 EXP       0   10000  thrpt    5    1353,036 ±    9,978  ops/s

RadixSortBenchmark.dpqs11Sort                                      23          7             UNIFORM       0   10000  thrpt    5    1158,325 ±   21,542  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7            GAUSSIAN       0   10000  thrpt    5    1163,392 ±   17,647  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7          CONTIGUOUS       0   10000  thrpt    5  225637,387 ± 1908,476  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7  CONTIGUOUS_REVERSE       0   10000  thrpt    5   79189,036 ±  990,863  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7   ALMOST_CONTIGUOUS       0   10000  thrpt    5   73389,248 ±  677,348  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7              SORTED       0   10000  thrpt    5   28577,727 ±  793,518  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7       ALMOST_SORTED       0   10000  thrpt    5    3188,098 ±   18,368  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7                 EXP       0   10000  thrpt    5    1156,000 ±   16,799  ops/s

RadixSortBenchmark.dpqs21Ref                                       23          7             UNIFORM       0   10000  thrpt    5    8770,904 ±  615,185  ops/s
RadixSortBenchmark.dpqs21Ref                                       23          7            GAUSSIAN       0   10000  thrpt    5   11208,436 ±  792,197  ops/s
RadixSortBenchmark.dpqs21Ref                                       23          7          CONTIGUOUS       0   10000  thrpt    5  228392,671 ± 1179,410  ops/s
RadixSortBenchmark.dpqs21Ref                                       23          7  CONTIGUOUS_REVERSE       0   10000  thrpt    5   82829,473 ±  493,763  ops/s
RadixSortBenchmark.dpqs21Ref                                       23          7   ALMOST_CONTIGUOUS       0   10000  thrpt    5   74494,506 ± 1050,227  ops/s
RadixSortBenchmark.dpqs21Ref                                       23          7              SORTED       0   10000  thrpt    5   30558,064 ±  560,379  ops/s
RadixSortBenchmark.dpqs21Ref                                       23          7       ALMOST_SORTED       0   10000  thrpt    5    8685,866 ±  583,691  ops/s
RadixSortBenchmark.dpqs21Ref                                       23          7                 EXP       0   10000  thrpt    5    7701,342 ±  448,191  ops/s

RadixSortBenchmark.dpqs2104NoAllocSort                             23          7             UNIFORM       0   10000  thrpt    5    8198,351 ±    7,513  ops/s
RadixSortBenchmark.dpqs2104NoAllocSort                             23          7            GAUSSIAN       0   10000  thrpt    5   10723,324 ±  104,405  ops/s
RadixSortBenchmark.dpqs2104NoAllocSort                             23          7          CONTIGUOUS       0   10000  thrpt    5  170737,721 ± 1819,095  ops/s
RadixSortBenchmark.dpqs2104NoAllocSort                             23          7  CONTIGUOUS_REVERSE       0   10000  thrpt    5   76632,394 ±  605,732  ops/s
RadixSortBenchmark.dpqs2104NoAllocSort                             23          7   ALMOST_CONTIGUOUS       0   10000  thrpt    5   86782,465 ±  381,676  ops/s
RadixSortBenchmark.dpqs2104NoAllocSort                             23          7              SORTED       0   10000  thrpt    5   22353,241 ±  191,129  ops/s
RadixSortBenchmark.dpqs2104NoAllocSort                             23          7       ALMOST_SORTED       0   10000  thrpt    5    8281,294 ±   99,104  ops/s
RadixSortBenchmark.dpqs2104NoAllocSort                             23          7                 EXP       0   10000  thrpt    5    7764,613 ±   47,034  ops/s

RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7             UNIFORM       0   10000  thrpt    5    8926,496 ±  251,796  ops/s
