# Run complete. Total time: 00:21:12

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                                      (bits)  (padding)          (scenario)  (seed)   (size)   Mode  Cnt     Score    Error  Units
RadixSortBenchmark.arraysSort                                      23          7             UNIFORM       0  1000000  thrpt    5     8,869 ±  0,077  ops/s
RadixSortBenchmark.arraysSort                                      23          7            GAUSSIAN       0  1000000  thrpt    5     9,080 ±  0,027  ops/s
RadixSortBenchmark.arraysSort                                      23          7          CONTIGUOUS       0  1000000  thrpt    5  2059,714 ± 12,294  ops/s
RadixSortBenchmark.arraysSort                                      23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5   799,438 ± 10,660  ops/s
RadixSortBenchmark.arraysSort                                      23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5    60,510 ±  1,170  ops/s
RadixSortBenchmark.arraysSort                                      23          7              SORTED       0  1000000  thrpt    5    16,648 ±  0,191  ops/s
RadixSortBenchmark.arraysSort                                      23          7       ALMOST_SORTED       0  1000000  thrpt    5    13,183 ±  0,167  ops/s
RadixSortBenchmark.arraysSort                                      23          7                 EXP       0  1000000  thrpt    5    10,300 ±  0,094  ops/s

RadixSortBenchmark.dpqs11Sort                                      23          7             UNIFORM       0  1000000  thrpt    5     7,523 ±  0,065  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7            GAUSSIAN       0  1000000  thrpt    5     7,334 ±  0,088  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7          CONTIGUOUS       0  1000000  thrpt    5  1571,905 ± 16,221  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5   704,877 ±  8,349  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5   783,676 ±  7,531  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7              SORTED       0  1000000  thrpt    5    10,581 ±  0,006  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7       ALMOST_SORTED       0  1000000  thrpt    5    10,621 ±  0,327  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7                 EXP       0  1000000  thrpt    5     8,831 ±  0,029  ops/s

RadixSortBenchmark.dpqs21Ref                                       23          7             UNIFORM       0  1000000  thrpt    5    79,901 ±  2,865  ops/s
RadixSortBenchmark.dpqs21Ref                                       23          7            GAUSSIAN       0  1000000  thrpt    5    79,794 ±  2,165  ops/s
RadixSortBenchmark.dpqs21Ref                                       23          7          CONTIGUOUS       0  1000000  thrpt    5  1451,910 ± 18,540  ops/s
RadixSortBenchmark.dpqs21Ref                                       23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5   797,361 ±  7,606  ops/s
RadixSortBenchmark.dpqs21Ref                                       23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5   851,668 ±  8,289  ops/s
RadixSortBenchmark.dpqs21Ref                                       23          7              SORTED       0  1000000  thrpt    5    16,385 ±  0,208  ops/s
RadixSortBenchmark.dpqs21Ref                                       23          7       ALMOST_SORTED       0  1000000  thrpt    5    79,697 ±  1,890  ops/s
RadixSortBenchmark.dpqs21Ref                                       23          7                 EXP       0  1000000  thrpt    5    72,167 ±  1,285  ops/s

RadixSortBenchmark.dpqs2104NoAllocSort                             23          7             UNIFORM       0  1000000  thrpt    5    77,392 ±  0,104  ops/s
RadixSortBenchmark.dpqs2104NoAllocSort                             23          7            GAUSSIAN       0  1000000  thrpt    5    76,722 ±  0,069  ops/s
RadixSortBenchmark.dpqs2104NoAllocSort                             23          7          CONTIGUOUS       0  1000000  thrpt    5  1634,111 ± 29,715  ops/s
RadixSortBenchmark.dpqs2104NoAllocSort                             23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5   687,941 ±  6,700  ops/s
RadixSortBenchmark.dpqs2104NoAllocSort                             23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5   826,907 ±  7,842  ops/s
RadixSortBenchmark.dpqs2104NoAllocSort                             23          7              SORTED       0  1000000  thrpt    5    17,098 ±  0,105  ops/s
RadixSortBenchmark.dpqs2104NoAllocSort                             23          7       ALMOST_SORTED       0  1000000  thrpt    5    77,689 ±  0,237  ops/s
RadixSortBenchmark.dpqs2104NoAllocSort                             23          7                 EXP       0  1000000  thrpt    5    74,004 ±  0,772  ops/s

RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7             UNIFORM       0  1000000  thrpt    5    80,494 ±  5,623  ops/s
